Feature Set,Model,Best Score,Metric,RMSE,NLL,Best Params
boruta_top3,AdaBoost,0.1440198371710236,RMSE,0.1440198371710236,,"{'n_estimators': 62, 'learning_rate': 0.02373113614972737, 'loss': 'exponential'}"
boruta_top3,GBM,0.1436004251610195,RMSE,0.1436004251610195,,"{'n_estimators': 180, 'learning_rate': 0.010954652089884788, 'max_depth': 4, 'subsample': 0.6036207873008095, 'min_samples_leaf': 9}"
boruta_top3,HistGBM,0.14434811816533927,RMSE,0.14434811816533927,,"{'max_iter': 123, 'learning_rate': 0.013356257191680323, 'max_depth': 3, 'l2_regularization': 2.2827640269439433}"
boruta_top3,XGBoost,0.14333204338948846,RMSE,0.14333204338948846,,"{'n_estimators': 209, 'learning_rate': 0.010931315418808174, 'max_depth': 3, 'subsample': 0.9047467647056285, 'colsample_bytree': 0.7952713862444535, 'reg_alpha': 1.6012188359592945, 'reg_lambda': 0.10827339409138688}"
boruta_top3,LightGBM,0.1436702035952227,RMSE,0.1436702035952227,,"{'n_estimators': 535, 'learning_rate': 0.1458991355604479, 'num_leaves': 26, 'max_depth': 2, 'reg_alpha': 4.0875245008327745, 'reg_lambda': 0.018743189692641514}"
boruta_top3,CatBoost,0.14384473524634328,RMSE,0.14384473524634328,,"{'iterations': 157, 'learning_rate': 0.012559608652398113, 'depth': 5, 'l2_leaf_reg': 5.4906895277841645, 'subsample': 0.8539607665341064}"
boruta_top3,XGBoostLSS,0.14630736426065324,RMSE,0.14630736426065324,0.587359797470081,"{'max_depth': 3, 'learning_rate': 0.010138244664913934, 'min_child_weight': 9, 'num_boost_round': 118}"
mi_top10,AdaBoost,0.144165794703083,RMSE,0.144165794703083,,"{'n_estimators': 86, 'learning_rate': 0.022810069406669742, 'loss': 'exponential'}"
mi_top10,GBM,0.14536402370573143,RMSE,0.14536402370573143,,"{'n_estimators': 104, 'learning_rate': 0.01587110817578451, 'max_depth': 9, 'subsample': 0.6021254603275314, 'min_samples_leaf': 13}"
mi_top10,HistGBM,0.1458769888601068,RMSE,0.1458769888601068,,"{'max_iter': 104, 'learning_rate': 0.0169880143938177, 'max_depth': 4, 'l2_regularization': 0.002218481820951132}"
mi_top10,XGBoost,0.1438118479569988,RMSE,0.1438118479569988,,"{'n_estimators': 1000, 'learning_rate': 0.0026389093461828745, 'max_depth': 3, 'subsample': 0.653524253180382, 'colsample_bytree': 0.8717326568224543, 'reg_alpha': 2.029837131513988, 'reg_lambda': 0.0011543143098327075}"
mi_top10,LightGBM,0.14446779915086072,RMSE,0.14446779915086072,,"{'n_estimators': 208, 'learning_rate': 0.017684101341107844, 'num_leaves': 37, 'max_depth': 6, 'reg_alpha': 3.1153511904544344, 'reg_lambda': 1.615702347566821}"
mi_top10,CatBoost,0.1442713608455164,RMSE,0.1442713608455164,,"{'iterations': 164, 'learning_rate': 0.04011590514747468, 'depth': 4, 'l2_leaf_reg': 9.116746357663606, 'subsample': 0.9720110460202739}"
mi_top10,XGBoostLSS,0.1500384655699335,RMSE,0.1500384655699335,1706.3125461446525,"{'max_depth': 7, 'learning_rate': 0.010213963354163304, 'min_child_weight': 19, 'num_boost_round': 100}"
mi_top30,AdaBoost,0.1441551084044035,RMSE,0.1441551084044035,,"{'n_estimators': 70, 'learning_rate': 0.018878347924846134, 'loss': 'exponential'}"
mi_top30,GBM,0.14465409533514664,RMSE,0.14465409533514664,,"{'n_estimators': 124, 'learning_rate': 0.01386747107636128, 'max_depth': 3, 'subsample': 0.8701464730727217, 'min_samples_leaf': 11}"
mi_top30,HistGBM,0.1459106464695328,RMSE,0.1459106464695328,,"{'max_iter': 271, 'learning_rate': 0.012950384411095965, 'max_depth': 3, 'l2_regularization': 4.312411237076414}"
mi_top30,XGBoost,0.14438452457294032,RMSE,0.14438452457294032,,"{'n_estimators': 927, 'learning_rate': 0.02043949296037874, 'max_depth': 3, 'subsample': 0.9775667434619882, 'colsample_bytree': 0.7576525252470584, 'reg_alpha': 4.642155686980356, 'reg_lambda': 0.025887157102933038}"
mi_top30,LightGBM,0.14426036600153297,RMSE,0.14426036600153297,,"{'n_estimators': 473, 'learning_rate': 0.04067234282528161, 'num_leaves': 40, 'max_depth': 2, 'reg_alpha': 4.239561279081808, 'reg_lambda': 0.0011941697543266761}"
mi_top30,CatBoost,0.14460482005093872,RMSE,0.14460482005093872,,"{'iterations': 227, 'learning_rate': 0.027551567180255587, 'depth': 4, 'l2_leaf_reg': 6.033600302434247, 'subsample': 0.8302798002102508}"
mi_top30,XGBoostLSS,0.14615395450175245,RMSE,0.14615395450175245,3.030200869491118,"{'max_depth': 3, 'learning_rate': 0.010185521842487123, 'min_child_weight': 16, 'num_boost_round': 104}"
corr_top20,AdaBoost,0.14399255238535033,RMSE,0.14399255238535033,,"{'n_estimators': 75, 'learning_rate': 0.013531544341270187, 'loss': 'linear'}"
corr_top20,GBM,0.14409164545053033,RMSE,0.14409164545053033,,"{'n_estimators': 126, 'learning_rate': 0.01185914088052454, 'max_depth': 3, 'subsample': 0.850785079823676, 'min_samples_leaf': 13}"
corr_top20,HistGBM,0.14610665016864322,RMSE,0.14610665016864322,,"{'max_iter': 105, 'learning_rate': 0.010893008665340891, 'max_depth': 7, 'l2_regularization': 0.1404718630297115}"
corr_top20,XGBoost,0.1438648508885329,RMSE,0.1438648508885329,,"{'n_estimators': 485, 'learning_rate': 0.004992309247295364, 'max_depth': 3, 'subsample': 0.7342685569791709, 'colsample_bytree': 0.8301212222075358, 'reg_alpha': 3.068666959551774, 'reg_lambda': 1.155341657167139}"
corr_top20,LightGBM,0.14420961239032618,RMSE,0.14420961239032618,,"{'n_estimators': 576, 'learning_rate': 0.09901049728704289, 'num_leaves': 92, 'max_depth': 7, 'reg_alpha': 3.300483801414328, 'reg_lambda': 0.17509782599436294}"
corr_top20,CatBoost,0.14397608450389673,RMSE,0.14397608450389673,,"{'iterations': 239, 'learning_rate': 0.019063101711279246, 'depth': 4, 'l2_leaf_reg': 9.577106462796502, 'subsample': 0.9217037082013215}"
corr_top20,XGBoostLSS,0.14769335623964955,RMSE,0.14769335623964955,17.264137587723166,"{'max_depth': 3, 'learning_rate': 0.010824572312985952, 'min_child_weight': 17, 'num_boost_round': 179}"
xgb_importance_top10,AdaBoost,0.14408469764567083,RMSE,0.14408469764567083,,"{'n_estimators': 51, 'learning_rate': 0.027997387628310506, 'loss': 'linear'}"
xgb_importance_top10,GBM,0.1444379553337742,RMSE,0.1444379553337742,,"{'n_estimators': 144, 'learning_rate': 0.01243884653436078, 'max_depth': 7, 'subsample': 0.6465655939944841, 'min_samples_leaf': 17}"
xgb_importance_top10,HistGBM,0.1439436349772966,RMSE,0.1439436349772966,,"{'max_iter': 135, 'learning_rate': 0.012978770216628112, 'max_depth': 3, 'l2_regularization': 0.021523661784169347}"
xgb_importance_top10,XGBoost,0.14329719435769753,RMSE,0.14329719435769753,,"{'n_estimators': 580, 'learning_rate': 0.1597899614371844, 'max_depth': 7, 'subsample': 0.863041051078528, 'colsample_bytree': 0.6276439834169626, 'reg_alpha': 4.485716037059297, 'reg_lambda': 0.3125322069550043}"
xgb_importance_top10,LightGBM,0.14329626186874195,RMSE,0.14329626186874195,,"{'n_estimators': 881, 'learning_rate': 0.01898109819159813, 'num_leaves': 59, 'max_depth': 2, 'reg_alpha': 2.882342881636471, 'reg_lambda': 0.007865532149090177}"
xgb_importance_top10,CatBoost,0.1428478579482338,RMSE,0.1428478579482338,,"{'iterations': 151, 'learning_rate': 0.023042077235949907, 'depth': 4, 'l2_leaf_reg': 6.571191066874623, 'subsample': 0.8991752250277876}"
xgb_importance_top10,XGBoostLSS,0.14455595591331605,RMSE,0.14455595591331605,0.38008430162685436,"{'max_depth': 3, 'learning_rate': 0.010011264549037351, 'min_child_weight': 15, 'num_boost_round': 103}"
